key,english,french
cart.checkout.processing,Processing...,Traitement en cours...
cart.checkout.reservation_expired,Reservation Expired,Réservation Expirée
cart.checkout.reservation_expired_message,Your cart reservation has expired. Please go back to your cart to refresh your selections.,Votre réservation de panier a expiré. Veuillez retourner à votre panier pour rafraîchir vos sélections.
cart.checkout.return_to_cart,Return to Cart,Retourner au Panier
cart.checkout.special_requests_placeholder,"Any dietary restrictions, accessibility needs, or special requests?","Restrictions alimentaires, besoins d'accessibilité ou demandes spéciales ?"
cart.checkout.status_confirmed,Confirmed,Confirmée
cart.checkout.step_contact,Contact Info,Coordonnées
cart.checkout.step_payment,Payment,Paiement
cart.checkout.tip_arrive_early,Arrive 15 minutes early to your experiences,Arrivez 15 minutes en avance à vos expériences
cart.checkout.tip_check_email,Check your email for booking confirmations and details,Vérifiez votre email pour les confirmations et détails de réservation
cart.checkout.tip_save_booking,Save your booking numbers for easy reference,Enregistrez vos numéros de réservation pour référence
cart.checkout.total_paid,Total Paid,Total Payé
cart.checkout.view_all_bookings,View All Bookings,Voir Toutes les Réservations
cart.checkout.whats_next,What's Next?,Quelle est la Suite ?
cart.checkout.your_booking_number,,Votre numéro de réservation
cart.checkout.your_bookings,"{count, plural, =1 {Your Booking} other {Your # Bookings}}","{count, plural, =1 {Votre Réservation} other {Vos # Réservations}}"
cart.clear_cart,Clear Cart,Vider le Panier
cart.confirmation.booking_number,Booking Number,Numéro de réservation
cart.confirmation.enter_names_button,Enter Names Now,Saisir les noms maintenant
cart.confirmation.enter_participant_names,Enter Participant Names,Saisir les noms des participants
cart.confirmation.participant_names_description,Please provide names for all participants to receive individual vouchers with QR codes.,Ajoutez les noms de tous les participants pour vos réservations. Vous pouvez aussi le faire plus tard depuis votre tableau de bord.
cart.confirmation.your_booking_numbers,Your Booking Numbers,Vos numéros de réservation
cart.continue_shopping,Continue Shopping,Continuer les Achats
cart.discount,Discount,Réduction
cart.empty_description,Browse our experiences and add items to your cart to book multiple activities at once.,Parcourez nos expériences et ajoutez des articles à votre panier pour réserver plusieurs activités en une fois.
cart.empty_title,Your cart is empty,Votre panier est vide
cart.extend,Extend,Prolonger
cart.extend_failed,Failed to extend reservation. Please try again.,Échec de la prolongation. Veuillez réessayer.
cart.extending,Extending...,Prolongation...
cart.extras,extras,extras
cart.go_to_homepage,,Retour à l'accueil
cart.guests,guests,voyageurs
cart.hold_expired,This reservation has expired,Cette réservation a expiré
cart.holds_extended,Reservation time extended!,Temps de réservation prolongé !
cart.holds_not_extended,Could not extend reservation. Some items may no longer be available.,Impossible de prolonger la réservation. Certains articles ne sont peut-être plus disponibles.
cart.invalid_link,,Lien de réservation invalide ou inconnu.
cart.items,"{count, plural, =1 {1 item} other {# items}}","{count, plural, =1 {1 article} other {# articles}}"
cart.link_expired,,Ce lien a expiré.
cart.link_expired_description,,Votre lien de réservation a expiré pour des raisons de sécurité. Vous pouvez en demander un nouveau ci-dessous.
cart.load_failed,,Échec du chargement de la réservation.
cart.magic_link_booking,,Réservation
cart.manage_booking,,Gérer votre réservation
cart.manage_booking_description,,Saisissez les noms des participants et téléchargez vos bons pour l'enregistrement.
cart.manage_participants,,Saisir les noms des participants
cart.person_type.adult,adult,adulte
cart.person_type.child,child,enfant
cart.person_type.infant,infant,bébé
cart.proceed_to_checkout,Proceed to Checkout,Passer à la Caisse
cart.request_new_link,,Demander un nouveau lien
cart.reservation_expires,Reservation expires in,La réservation expire dans
cart.secure_checkout,Secure checkout,Paiement sécurisé
cart.secure_link_description,,Ajoutez cette page à vos favoris ou conservez l'email de confirmation pour accéder à votre réservation à tout moment.
cart.secure_link_notice,,Ceci est un lien de réservation sécurisé
cart.some_holds_expired,Some items have expired. Please remove them to continue.,Certains articles ont expiré. Veuillez les supprimer pour continuer.
cart.some_holds_not_extended,Some items could not be extended. They may no longer be available.,Certains articles n'ont pas pu être prolongés. Ils ne sont peut-être plus disponibles.
cart.subtotal,Subtotal,Sous-total
cart.title,Your Cart,Votre Panier
cart.total,Total,Total
cart.view_cart,View Cart,Voir le Panier
cart.view_vouchers,,Télécharger les bons
categories.cultural,Cultural Activities,Culture
categories.cycling,Cycling Activities,Vélo
categories.events,Events,Événements
categories.hiking,Hiking & Trekking,Randonnée
categories.tours,Activities,Activités
categories.trail-running,Trail Running,Trail
checkout.and,and,et la
checkout.approx_tnd,≈ {tndAmount},≈ {tndAmount}
checkout.back_to_listing,Back to Listing,Retour à l'Activité
checkout.booking_confirmed,Your booking #{number} has been confirmed.,Votre réservation #{number} a été confirmée.
checkout.booking_reference,Booking Reference,Référence de Réservation
checkout.browse_listings,Browse Listings,Parcourir les Activités
checkout.cart_bookings_confirmed,"{count, plural, =1 {Your booking has been confirmed!} other {Your # bookings have been confirmed!}}",
checkout.check_booking_details,You can view and manage your booking in your dashboard,Vous pouvez consulter et gérer votre réservation depuis votre tableau de bord
checkout.clictopay_redirect_info,You will be redirected to Clictopay to complete your payment securely.,Vous serez redirigé vers Clictopay pour finaliser votre paiement en toute sécurité.
checkout.confirm_and_pay,Confirm & Pay,Confirmer et Payer
checkout.confirm_payment_title,Confirm Payment,Confirmer le Paiement
checkout.confirmation_email_sent,A confirmation email has been sent to your email address,Un email de confirmation a été envoyé à votre adresse email
checkout.contact_support,Contact Support,Contacter le Support
checkout.continue_to_payment,Continue to Payment,Continuer vers le Paiement
checkout.currency_notice_card_charge,Your card statement will show: {amount},Votre relevé de carte affichera : {amount}
checkout.currency_notice_explanation,"You will be redirected to Clictopay's secure payment page. The amount will be displayed in Tunisian Dinar (TND), which is the local processing currency.","Vous serez redirigé vers la page de paiement sécurisée de Clictopay. Le montant sera affiché en Dinar Tunisien (TND), la monnaie de traitement locale."
checkout.currency_notice_guarantee,Guaranteed charge: {amount} - no hidden fees,Montant garanti : {amount} - sans frais cachés
checkout.currency_notice_message,"You'll be redirected to ClikToPay, Tunisia's secure payment gateway. The payment page will show the amount in Tunisian Dinar ({tndAmount}). Don't worry — you will be charged exactly {eurAmount} in your currency. No hidden fees.","Vous serez redirigé vers ClikToPay, la passerelle de paiement sécurisée de la Tunisie. La page de paiement affichera le montant en Dinar Tunisien ({tndAmount}). Ne vous inquiétez pas — vous serez débité exactement de {eurAmount} dans votre devise. Aucun frais caché."
checkout.currency_notice_message_tnd,"You'll be redirected to ClikToPay, Tunisia's secure payment gateway, to complete your payment of {amount}.","Vous serez redirigé vers ClikToPay, la passerelle de paiement sécurisée de la Tunisie, pour finaliser votre paiement de {amount}."
checkout.currency_notice_payment_page_amount,(shown as {tndAmount} on payment page),(affiché comme {tndAmount} sur la page de paiement)
checkout.currency_notice_title,Confirm Your Payment,Confirmez Votre Paiement
checkout.currency_notice_tnd_equivalent,Equivalent amount: {tndAmount},Montant équivalent : {tndAmount}
checkout.currency_notice_tnd_simple,"You will be securely redirected to Clictopay, Tunisia's official payment gateway, to complete your payment.","Vous serez redirigé en toute sécurité vers Clictopay, la passerelle de paiement officielle de la Tunisie, pour finaliser votre paiement."
checkout.currency_notice_why_tnd_explanation,"Clictopay is Tunisia's official national payment gateway. The payment page displays amounts in Tunisian Dinar (TND), but your card will be charged in your local currency.","Clictopay est la passerelle de paiement nationale officielle de la Tunisie. La page de paiement affiche les montants en Dinar Tunisien (TND), mais votre carte sera débitée dans votre devise locale."
checkout.currency_notice_why_tnd_title,Why will I see a different currency?,Pourquoi verrai-je une devise différente ?
checkout.equivalent_to,equivalent to,équivalent à
checkout.error_gateway_error,There was an issue with the payment gateway. Please try again later.,Un problème est survenu avec la passerelle de paiement. Veuillez réessayer plus tard.
checkout.error_payment_declined,Your payment was declined. Please use a different card or contact your bank.,Votre paiement a été refusé. Veuillez utiliser une autre carte ou contacter votre banque.
checkout.error_payment_failed,Your payment could not be processed. Please try again.,Votre paiement n'a pas pu être traité. Veuillez réessayer.
checkout.error_payment_not_completed,Your payment was not completed. Please try again.,Votre paiement n'a pas été finalisé. Veuillez réessayer.
checkout.error_payment_reversed,Your payment was reversed. Please try again.,Votre paiement a été annulé. Veuillez réessayer.
checkout.error_processing_error,An error occurred while processing your payment.,Une erreur est survenue lors du traitement de votre paiement.
checkout.error_verification_error,We could not verify your payment. Please contact support.,Nous n'avons pas pu vérifier votre paiement. Veuillez contacter le support.
checkout.go_back,Go Back,Retour
checkout.guarantee_charge,Guaranteed charge: {amount} - no hidden fees,Montant garanti : {amount} - sans frais cachés
checkout.guarantee_official,Tunisia's official certified payment gateway,Passerelle de paiement officielle certifiée de Tunisie
checkout.hold_expired_message,Your reservation has expired. Please select a new date and time to continue booking.,Votre réservation a expiré. Veuillez sélectionner une nouvelle date et heure pour continuer.
checkout.hold_expired_title,Reservation Expired,Réservation Expirée
checkout.hold_not_found_message,We could not find your reservation. It may have expired or been cancelled.,Nous n'avons pas pu trouver votre réservation. Elle a peut-être expiré ou été annulée.
checkout.hold_not_found_title,Reservation Not Found,Réservation Non Trouvée
checkout.how_it_works_description,"Similar to iDEAL, Bancontact, or SOFORT - you'll be redirected to a secure payment page. Your card will be charged in your local currency ({amount}).","Comme iDEAL, Bancontact ou SOFORT - vous serez redirigé vers une page de paiement sécurisée. Votre carte sera débitée dans votre devise locale ({amount})."
checkout.how_it_works_general,"Similar to iDEAL, Bancontact, or SOFORT - you'll be redirected to Clictopay's secure payment page to complete your transaction safely.","Comme iDEAL, Bancontact ou SOFORT - vous serez redirigé vers la page de paiement sécurisée de Clictopay pour finaliser votre transaction en toute sécurité."
checkout.how_it_works_title,How it works,Comment ça marche
checkout.legal_agreements,Legal Agreements,Mentions Légales
checkout.marketing_consent_description,You can unsubscribe at any time.,Vous pouvez vous désabonner à tout moment.
checkout.marketing_consent_text,Send me travel inspiration and special offers,Envoyez-moi des inspirations de voyage et des offres spéciales
checkout.missing_data_message,Some booking information is missing. Please try again.,Certaines informations de réservation sont manquantes. Veuillez réessayer.
checkout.no_hidden_fees,No hidden fees,Sans frais cachés
checkout.pay_securely_button,Pay {amount} Securely,Payer {amount} en sécurité
checkout.payment_failed,Payment Failed,Échec du Paiement
checkout.payment_successful,Payment Successful!,Paiement Réussi !
checkout.privacy_policy,Privacy Policy,Politique de Confidentialité
checkout.redirect_notice_tnd,"You will be securely redirected to Clictopay, Tunisia's official payment gateway, to complete your payment. Your card will be charged exactly the amount shown above.","Vous serez redirigé en toute sécurité vers Clictopay, la passerelle de paiement officielle de Tunisie, pour finaliser votre paiement. Votre carte sera débitée exactement du montant affiché ci-dessus."
checkout.redirecting,Redirecting to checkout...,Redirection vers le paiement...
checkout.return_home,Return Home,Retour à l'Accueil
checkout.secure_payment_note,256-bit SSL encrypted - Secured by Clictopay SMT,Chiffrement SSL 256 bits - Sécurisé par Clictopay SMT
checkout.secure_payment_note_extended,256-bit SSL encrypted - Clictopay is Tunisia's national payment system operated by SMT,Chiffrement SSL 256 bits - Clictopay est le système de paiement national tunisien opéré par SMT
checkout.secure_payment_title,Secure Payment,Paiement Sécurisé
checkout.secured_by_smt,Secured by Société Monétique Tunisie,Sécurisé par Société Monétique Tunisie
checkout.status_confirmed,Confirmed,Confirmé
checkout.step_1,Redirect to secure Clictopay page,Redirection vers la page sécurisée Clictopay
checkout.step_2,Enter your card details (Visa/Mastercard),Saisissez vos coordonnées carte (Visa/Mastercard)
checkout.step_3,Complete 3D Secure verification (if prompted),Validation 3D Secure (si demandée par votre banque)
checkout.step_4,Return here with instant confirmation,Retour ici avec confirmation instantanée
checkout.suggestion_check_card,Check that your card details are correct,Vérifiez que les détails de votre carte sont corrects
checkout.suggestion_contact_bank,Contact your bank if the problem persists,Contactez votre banque si le problème persiste
checkout.suggestion_try_again,Try again with a different payment method,Réessayez avec un autre moyen de paiement
checkout.terms_consent_text,I accept the,J'accepte les
checkout.terms_of_service,Terms of Service,Conditions d'Utilisation
checkout.terms_required,You must accept the terms and conditions to continue.,Vous devez accepter les conditions générales pour continuer.
checkout.trust_3ds,3D Secure,3D Secure
checkout.trust_gdpr,GDPR Compliant,Conforme RGPD
checkout.trust_ssl,SSL Encrypted,Chiffrement SSL
checkout.try_again,Try Again,Réessayer
checkout.view_my_bookings,View My Bookings,Voir Mes Réservations
checkout.what_happens_next_title,What happens next,Prochaines étapes
checkout.what_to_do,What to do?,Que faire ?
checkout.whats_next,What's Next?,Que faire maintenant ?
checkout.you_will_be_charged,You will be charged,Vous serez débité de
checkout.you_will_pay,You will pay,Vous allez payer
checkout.your_booking_number,Your Booking Number,
common.back,Back,Retour
common.back_arrow,← Back,← Retour
common.back_to_bookings,Back to Bookings,Retour aux Réservations
common.book_now,Book Now,Réserver
common.cancel,Cancel,Annuler
common.error,Something went wrong,Une erreur est survenue
common.explore,Explore,Explorer
common.from,From,À partir de
common.get_started,Get Started,Commencer
common.go_to_bookings,Go to My Bookings,Aller à Mes Réservations
common.learn_more,Learn More,En savoir plus
common.loading,Loading...,Chargement...
common.package,Package,Forfait
common.packages,Packages,Forfaits
common.per_person,per person,par personne
common.register_now,Book Now,Réserver
common.retry,Try again,Réessayer
common.reviews,"{count, plural, =0 {No reviews} =1 {1 review} other {# reviews}}","{count, plural, =0 {Aucun avis} =1 {1 avis} other {# avis}}"
common.search,Search,Rechercher
common.try_again,Try Again,Réessayer
common.view_all,View All,Voir Tout
contact_page.address_label,Address,Adresse
contact_page.contact_info,Contact Information,Informations de Contact
contact_page.email_label,Email,Email
contact_page.error,Something went wrong. Please try again or email us directly.,Une erreur s'est produite. Veuillez réessayer ou nous envoyer un email directement.
contact_page.follow_us,Follow Us,Suivez-Nous
contact_page.form.email,Email Address,Adresse Email
contact_page.form.email_placeholder,your@email.com,votre@email.com
contact_page.form.message,Message,Message
contact_page.form.message_placeholder,How can we help you?,Comment pouvons-nous vous aider ?
contact_page.form.name,Full Name,Nom Complet
contact_page.form.name_placeholder,Your name,Votre nom
contact_page.form.submit,Send Message,Envoyer le Message
contact_page.form.submitting,Sending...,Envoi en cours...
contact_page.meta_description,"Contact Go Adventure for questions about activities, bookings, or custom trip planning. We're here to help you plan your perfect Tunisian adventure.","Contactez Go Adventure pour des questions sur les activités, les réservations ou la planification de voyages sur mesure. Nous sommes là pour vous aider à planifier votre aventure tunisienne parfaite."
contact_page.page_title,Get in Touch,Contactez-Nous
contact_page.phone_label,Phone,Téléphone
contact_page.subtitle,Have questions? We'd love to hear from you.,Des questions ? Nous serions ravis de vous entendre.
contact_page.success,Thank you for your message! We'll get back to you within 24 hours.,Merci pour votre message ! Nous vous répondrons dans les 24 heures.
contact_page.title,Contact Us,Nous Contacter
contact_page.validation.email_invalid,Please enter a valid email address,Veuillez entrer une adresse email valide
contact_page.validation.email_required,Email is required,L'email est requis
contact_page.validation.message_min,Message must be at least 10 characters,Le message doit contenir au moins 10 caractères
contact_page.validation.message_required,Message is required,Le message est requis
contact_page.validation.name_required,Name is required,Le nom est requis
cookies.accept_all,Accept All,Tout Accepter
cookies.analytics_description,Help us understand how visitors interact with our website.,Nous aident à comprendre comment les visiteurs interagissent avec notre site.
cookies.analytics_title,Analytics Cookies,Cookies Analytiques
cookies.banner_description,"We use cookies to enhance your browsing experience, analyze site traffic, and personalize content. You can choose which cookies you want to allow.","Nous utilisons des cookies pour améliorer votre expérience de navigation, analyser le trafic du site et personnaliser le contenu. Vous pouvez choisir les cookies que vous souhaitez autoriser."
cookies.banner_title,Cookie Preferences,Préférences de Cookies
cookies.cookie_policy,Cookie Policy,Politique de Cookies
cookies.customize,Customize preferences,Personnaliser les préférences
cookies.essential_description,Required for the website to function. Cannot be disabled.,Nécessaires au fonctionnement du site. Ne peuvent pas être désactivés.
cookies.essential_only,Essential Only,Essentiels Uniquement
cookies.essential_title,Essential Cookies,Cookies Essentiels
cookies.hide_details,Hide details,Masquer les détails
cookies.marketing_description,Used to deliver personalized advertisements relevant to you.,Utilisés pour vous proposer des publicités personnalisées.
cookies.marketing_title,Marketing Cookies,Cookies Marketing
cookies.save_preferences,Save Preferences,Enregistrer les Préférences
coupon.applied,Coupon applied!,Code promo appliqué !
coupon.apply,Apply,Appliquer
coupon.discount,Discount,Réduction
coupon.enter_code,Enter coupon code,Entrez le code promo
coupon.expired,This coupon has expired,Ce code promo a expiré
coupon.invalid,Invalid coupon code,Code promo invalide
coupon.minimum_order,Minimum order of {amount} required,Commande minimum de {amount} requise
coupon.remove,Remove,Supprimer
customTrip.budgetStyle.accommodation.budget,Budget-friendly,Économique
customTrip.budgetStyle.accommodation.luxury,Premium,Premium
customTrip.budgetStyle.accommodation.mid-range,Comfortable,Confortable
customTrip.budgetStyle.accommodation_style,Accommodation preference,Préférence d'hébergement
customTrip.budgetStyle.back,Back,Retour
customTrip.budgetStyle.budget_per_person,Budget per person (TND),Budget par personne (TND)
customTrip.budgetStyle.continue,Continue,Continuer
customTrip.budgetStyle.occasions.anniversary,Anniversary,Anniversaire de Mariage
customTrip.budgetStyle.occasions.birthday,Birthday,Anniversaire
customTrip.budgetStyle.occasions.honeymoon,Honeymoon,Lune de Miel
customTrip.budgetStyle.occasions.other,Other Celebration,Autre Célébration
customTrip.budgetStyle.optional,(optional),(facultatif)
customTrip.budgetStyle.pace.active,Active,Actif
customTrip.budgetStyle.pace.active_desc,"Packed schedule, see everything","Programme chargé, tout voir"
customTrip.budgetStyle.pace.moderate,Moderate,Modéré
customTrip.budgetStyle.pace.moderate_desc,Balanced mix of activities,Mélange équilibré d'activités
customTrip.budgetStyle.pace.relaxed,Relaxed,Détendu
customTrip.budgetStyle.pace.relaxed_desc,"Few activities, more free time","Peu d'activités, plus de temps libre"
customTrip.budgetStyle.special_occasion,Special occasion?,Occasion spéciale ?
customTrip.budgetStyle.subtitle,Help us understand your preferences and budget,Aidez-nous à comprendre vos préférences et votre budget
customTrip.budgetStyle.title,What's your travel style?,Quel est votre style de voyage ?
customTrip.budgetStyle.travel_pace,How do you like to travel?,Comment aimez-vous voyager ?
customTrip.contact.back,Back,Retour
customTrip.contact.country,Country of Residence,Pays de Résidence
customTrip.contact.country_placeholder,Select your country,Sélectionnez votre pays
customTrip.contact.email,Email Address,Adresse Email
customTrip.contact.email_placeholder,Enter your email,Entrez votre email
customTrip.contact.full_name,Full Name,Nom Complet
customTrip.contact.full_name_placeholder,Enter your full name,Entrez votre nom complet
customTrip.contact.method.email,Email,Email
customTrip.contact.method.phone,Phone,Téléphone
customTrip.contact.method.whatsapp,WhatsApp,WhatsApp
customTrip.contact.newsletter_consent,I'd like to receive exclusive travel deals and destination inspiration from Go Adventure,Je souhaite recevoir des offres de voyage exclusives et de l'inspiration destination de Go Adventure
customTrip.contact.phone,Phone Number,Numéro de Téléphone
customTrip.contact.phone_placeholder,+216 XX XXX XXX,+216 XX XXX XXX
customTrip.contact.preferred_contact,Preferred contact method,Méthode de contact préférée
customTrip.contact.special_requests,Special requests or requirements,Demandes spéciales ou exigences
customTrip.contact.special_requests_hint,Max 1000 characters,1000 caractères maximum
customTrip.contact.special_requests_placeholder,"Tell us about any dietary restrictions, mobility needs, or specific wishes...","Parlez-nous de vos restrictions alimentaires, besoins de mobilité ou souhaits spécifiques..."
customTrip.contact.submit,Submit Request,Envoyer la Demande
customTrip.contact.submitting,Submitting...,Envoi en cours...
customTrip.contact.subtitle,Our travel experts will contact you within 24 hours,Nos experts voyage vous contacteront sous 24 heures
customTrip.contact.title,How can we reach you?,Comment pouvons-nous vous contacter ?
customTrip.contact.whatsapp_number,WhatsApp Number,Numéro WhatsApp
customTrip.contact.whatsapp_placeholder,+216 XX XXX XXX,+216 XX XXX XXX
customTrip.contact.whatsapp_same_as_phone,WhatsApp number is same as phone,Le numéro WhatsApp est identique au téléphone
customTrip.errors.submission_failed,We couldn't submit your request. Please try again or contact us directly.,Nous n'avons pas pu envoyer votre demande. Veuillez réessayer ou nous contacter directement.
customTrip.hero.badge_free_consultation,Free Consultation,Consultation gratuite
customTrip.hero.badge_response_time,Response within 24h,Réponse sous 24h
customTrip.hero.cta_button,Start Planning,Commencer la Planification
customTrip.hero.subtitle,Tell us your vision and our local experts will craft a personalized itinerary just for you,Partagez votre vision et nos experts locaux créeront un itinéraire personnalisé juste pour vous
customTrip.hero.title,Design Your Dream Tunisia Adventure,Créez Votre Aventure Tunisienne Sur Mesure
customTrip.interests.back,Back,Retour
customTrip.interests.continue,Continue,Continuer
customTrip.interests.max_selections_error,You can select up to {max} interests,Vous pouvez sélectionner jusqu'à {max} centres d'intérêt
customTrip.interests.min_selection_error,Please select at least 1 interest,Veuillez sélectionner au moins 1 centre d'intérêt
customTrip.interests.options.beach_relaxation,Beach & Relaxation,Plage & Détente
customTrip.interests.options.desert_adventures,Desert Adventures,Aventures dans le Désert
customTrip.interests.options.food_gastronomy,Food & Gastronomy,Gastronomie
customTrip.interests.options.hiking_nature,Hiking & Nature,Randonnée & Nature
customTrip.interests.options.history_culture,History & Culture,Histoire & Culture
customTrip.interests.options.local_festivals,Local Festivals,Festivals Locaux
customTrip.interests.options.photography,Photography,Photographie
customTrip.interests.options.star_wars_sites,Star Wars Sites,Sites Star Wars
customTrip.interests.selection_hint,{current} of {max} selected,{current} sur {max} sélectionnés
customTrip.interests.subtitle,Select up to 5 experiences you'd love to include in your trip,Sélectionnez jusqu'à 5 expériences que vous aimeriez inclure dans votre voyage
customTrip.interests.title,What interests you most?,Qu'est-ce qui vous intéresse le plus ?
customTrip.steps.basics,Trip Basics,Infos du Voyage
customTrip.steps.budget,Budget & Style,Budget & Style
customTrip.steps.contact,Contact,Contact
customTrip.steps.interests,Interests,Centres d'Intérêt
customTrip.success.back_home,Back to Home,Retour à l'Accueil
customTrip.success.contact_whatsapp,Chat on WhatsApp,Discuter sur WhatsApp
customTrip.success.email_sent_description,We've sent a confirmation to {email}. Check your inbox for details.,Nous avons envoyé une confirmation à {email}. Vérifiez votre boîte de réception.
customTrip.success.email_sent_title,Confirmation Email Sent,Email de Confirmation Envoyé
customTrip.success.questions,Need immediate assistance?,Besoin d'aide immédiate ?
customTrip.success.reference_label,Your Reference Number,Votre Numéro de Référence
customTrip.success.response_time,We'll contact you within 24 hours,Nous vous contacterons sous 24 heures
customTrip.success.step1_description,Our travel specialists will review your preferences,Nos spécialistes voyage examineront vos préférences
customTrip.success.step1_title,Expert Review,Examen Expert
customTrip.success.step2_description,We'll craft a personalized trip proposal for you,Nous créerons une proposition de voyage sur mesure pour vous
customTrip.success.step2_title,Custom Itinerary,Itinéraire Personnalisé
customTrip.success.step3_description,We'll discuss and fine-tune your perfect adventure,Nous discuterons et peaufinerons votre aventure parfaite
customTrip.success.step3_title,Connect & Refine,Échange & Ajustements
customTrip.success.subtitle,Thank you for choosing Go Adventure. We're excited to help plan your dream trip to Tunisia.,Merci d'avoir choisi Go Adventure. Nous sommes ravis de vous aider à planifier votre voyage de rêve en Tunisie.
customTrip.success.title,Request Submitted!,Demande Envoyée !
customTrip.success.whats_next_title,What Happens Next?,Et Maintenant ?
customTrip.summary.chat_with_us,Chat with us,Discutez avec nous
customTrip.summary.dates_flexible,Flexible dates,Dates flexibles
customTrip.summary.estimated_total,Estimated Total,Total Estimé
customTrip.summary.pace,pace,rythme
customTrip.summary.per_person,per person,par personne
customTrip.summary.questions,Have questions?,Des questions ?
customTrip.summary.title,Trip Summary,Résumé du Voyage
customTrip.summary.travelers,travelers,voyageurs
customTrip.tripBasics.adults,Adults,Adultes
customTrip.tripBasics.adults_hint,Ages 13+,13 ans et plus
customTrip.tripBasics.children,Children,Enfants
customTrip.tripBasics.children_hint,Ages 2-12,2-12 ans
customTrip.tripBasics.continue,Continue,Continuer
customTrip.tripBasics.dates_flexible,My dates are flexible (+/- a few days),Mes dates sont flexibles (+/- quelques jours)
customTrip.tripBasics.days,days,jours
customTrip.tripBasics.end_date,End date,Date de fin
customTrip.tripBasics.how_many_travelers,How many travelers?,Combien de voyageurs ?
customTrip.tripBasics.start_date,Start date,Date de début
customTrip.tripBasics.subtitle,Let us know your ideal dates and group size,Indiquez-nous vos dates idéales et la taille de votre groupe
customTrip.tripBasics.title,When would you like to travel?,Quand souhaitez-vous voyager ?
customTrip.tripBasics.trip_duration,How many days do you have?,Combien de jours avez-vous ?
customTrip.tripBasics.when_travel,When do you want to travel?,Quand voulez-vous partir ?
dashboard.activity_details,Activity Details,Détails de l'Activité
dashboard.all_bookings,All Bookings,Toutes les Réservations
dashboard.back_to_bookings,Back to Bookings,Retour aux Réservations
dashboard.back_to_dashboard,Back to Dashboard,Retour au Tableau de Bord
dashboard.booking,Booking,Réservation
dashboard.booking_not_found,Booking not found,Réservation non trouvée
dashboard.booking_number,Booking Number,Numéro de Réservation
dashboard.booking_number_label,Booking Number,Numéro de Réservation
dashboard.cancel,Cancel,Annuler
dashboard.cancel_booking,Cancel Booking,Annuler la Réservation
dashboard.cancel_confirm,Are you sure you want to cancel this booking? This action cannot be undone.,Êtes-vous sûr de vouloir annuler cette réservation ? Cette action ne peut pas être annulée.
dashboard.cancel_reason,Reason for cancellation,Raison de l'annulation
dashboard.cancel_reason_placeholder,Please tell us why you're cancelling...,Veuillez nous dire pourquoi vous annulez...
dashboard.cancelled,Cancelled,Annulées
dashboard.cancelling,Cancelling...,Annulation...
dashboard.claim_booking_button,Claim Booking,Réclamer une Réservation
dashboard.claim_booking_info_text,Enter your booking number to link it to your account. The booking email must match your account email.,Entrez votre numéro de réservation pour le lier à votre compte. L'email de réservation doit correspondre à l'email de votre compte.
dashboard.claim_booking_info_title,Link a past booking,Lier une réservation antérieure
dashboard.claim_booking_subtitle,Link them to your account by entering your booking number!,Liez-les à votre compte en saisissant votre numéro de réservation !
dashboard.claim_booking_title,Have past bookings?,Avez-vous des réservations antérieures ?
dashboard.claim_success,Booking claimed successfully!,Réservation réclamée avec succès !
dashboard.confirm_cancel,Confirm Cancellation,Confirmer l'Annulation
dashboard.date_time,Date & Time,Date et Heure
dashboard.discount,Discount,Réduction
dashboard.download_receipt,Download Receipt,Télécharger le Reçu
dashboard.explore_activities,Explore Activities,Explorer les Activités
dashboard.extras,Extras,Suppléments
dashboard.filter_by_status,Filter by Status,Filtrer par Statut
dashboard.find_new_adventures,Find your next adventure,Trouvez votre prochaine aventure
dashboard.guest,guest,voyageur
dashboard.guests,guests,voyageurs
dashboard.keep_booking,Keep Booking,Conserver la Réservation
dashboard.manage_participants,Manage Participants,Gérer les Participants
dashboard.manage_your_bookings,Manage all your bookings in one place,Gérez toutes vos réservations en un seul endroit
dashboard.manage_your_profile,Manage your account settings,Gérer les paramètres de votre compte
dashboard.my_bookings,My Bookings,Mes Réservations
dashboard.my_profile,My Profile,Mon Profil
dashboard.no_bookings,No bookings yet,Aucune réservation
dashboard.no_bookings_match,No bookings match your search,Aucune réservation ne correspond à votre recherche
dashboard.no_bookings_message,Start exploring and book your first adventure!,Commencez à explorer et réservez votre première aventure !
dashboard.optional,optional,optionnel
dashboard.participants_vouchers,Participants & Vouchers,Participants et Bons
dashboard.participants_vouchers_desc,Manage participant names and download vouchers with QR codes for check-in.,Gérez les noms des participants et téléchargez les bons avec QR codes pour l'enregistrement.
dashboard.past,Past,Passées
dashboard.payment_info,Payment Information,Informations de Paiement
dashboard.payment_method,Payment Method,Mode de Paiement
dashboard.payment_status,Payment Status,Statut du Paiement
dashboard.price_breakdown,Price Breakdown,Détail du Prix
dashboard.search,Search,Rechercher
dashboard.search_bookings,Search by booking number or activity name,Rechercher par numéro de réservation ou nom d'activité
dashboard.special_requests,Special Requests,Demandes Spéciales
dashboard.start_exploring,Start Exploring,Commencer à Explorer
dashboard.subtotal,Subtotal,Sous-total
dashboard.tax,Tax,Taxe
dashboard.title,My Dashboard,Mon Tableau de Bord
dashboard.total,Total,Total
dashboard.total_bookings,Total Bookings,Total Réservations
dashboard.traveler_info,Traveler Information,Informations du Voyageur
dashboard.upcoming,Upcoming,À Venir
